Name,Description
Guardians of the Galaxy Baby Groot High Top Sneakers,"Not clogs
			
		
		Don't worry, these shoes aren't made of wood. That wouldn't be very nice to Groot. Also, that would be pretty uncomfortable. We've worn clogs once - never again. We still have nightmares about the blisters.High top sneakers featuring the face of Baby Groot on the side and Groot's name on the tongues. Dark brown with light brown trim."
Captain America High Top Sneaker,"I can do this all day
			
		
		Looking good isn't just a morning thing. This is a marathon, not a sprint. You have to pace yourself so you can look just as good when you walk out of school or the office as when you first step through those doors in the morning. The Cap knows a thing or two about still bringing the heat after a good bit of time. Make sure you're looking pretty spry, even if you're an older fellow, with the Captain America High Top Sneakers. These red, white, and blue high tops feature the iconic shield we all know and love on the side."
Wonder Woman Slip-On Sneakers,"More practical than sandals
			
		
		These Wonder Woman shoes are perfect for 2017. We've got a Wonder Woman movie forthcoming, and adult coloring books are huge. These shoes are both of those things mashed together. Basically, you get to have Wonder Woman Adult Coloring Feet. It's shoes and an art project, all wrapped up in one.The panel on the right shoe reads ""The queen could only watch as her beloved daughter left paradise for the harsh reality of the world of men."" The panel on the left shoe we initially thought was about her bracelets, but now we think it's probably referring to the Lasso of Truth since the last line begins ""speak only...."" In black and white, these shoes go with everything, but we're breaking out our Sharpies. We want to see how you choose to color them. Be sure to tag your photos #geekfamous so we can witness your artistic flair!"
Wonder Woman Ladies' Lace-Up Sneakers,"No sharp edges
			
		
		Whether she is training with her fellow Amazons in her own realm, or forging a path in an unfamiliar world, Wonder Woman is a force to be reckoned with. In Amazonian attire or attempting to blend in elsewhere (""the sword doesn't go with the outfit!""), Princess Diana of Themyscira always lives true to her purpose. If that's not enough to make her a heroine, we don't know what is! Wonder Woman Lace-Up Sneakers are red canvas featuring golden accents that form the woven Wonder Woman symbol. The shoes have white soles, a red body and pull strap, black shoelaces, and silver eyelets. Product SpecificationsWonder Woman Lace-Up SneakersOfficially-licensed DC merchandiseChoose Small (women's shoe size 5-6), Medium (7-8), Large (9-10), or XL (11-12). Please note that these run a bit small so select your size accordingly.White soleMaterials: Canvas with rubber sole, black shoelaces, and silver eyeletsImported"
Star Wars R2-D2 Flats - Exclusive,"Artoos for your artoes
			
		
		Irregular Choice has always been out there with their footwear designs, but now they're so far out they're in a galaxy far, far away. Introducing the limited-edition Star Wars collection from Irregular Choice, which we're elated to be able to offer on ThinkGeek!These R2-D2 Flats feature Artoo on the toe, superimposed over a starfield pattern that extends all over the outside. Irregular Choice produced these JUST FOR US, which makes us do a little dance rocking back and forth and beeping and booping happily. You can only find this pair of R2-D2 shoes on ThinkGeek. Get 'em before the Jawas do.   Product Specifications R2-D2 Flats Officially-licensed Star Wars merchandise These are a ThinkGeek exclusiveFrom the mad geniuses at Irregular ChoiceR2-D2 on the toesThe word ""Star"" embroidered in silver on one heel (technically the counter) and the word ""Wars"" on the otherSilver edge dressing with glitter on the heel itselfIridescent inner (like a little secret only you get to enjoy)Louboutin ain't got nothing on these - they have full-color classic images on the soleThey paid attention to all the details - even the tissue paper is Star-Wars-inspiredMaterials: Fabric & blue faux-suede fabricHeel height: 0.7"" (flats) Note: We know shoes are hard to buy online. If you're not sure if you got the right size, wear them inside a bit to see if they fit okay. That way the bottoms will stay untouched. DO NOT walk in them on pavement! If you wear them inside for an hour and realize they're rubbing you the wrong way, literally, return them for a refund or exchange or exchange them for another size. Just to be sure to include all the bits that came with them so another fan can have the same joy you did unboxing them. Sizing Table  U.S Sizes 5 5.5 6.5 7 8 9 10 11 11.5  European Sizes 35 36 37 38 39 40 41 42 43  UK Sizes 2.5 3.5 4 5 6 6.5 7.5 8 8.5  Japanese Sizes 21 22.5 23 23.5 24 25 26 26.5 27"
Misty Reins Unicorn Sneakers - Exclusive,"Let your fashion freedom reign
			
		
		Finding a unicorn, that is special. Finding two unicorns, that is exceedingly rare. Finding two unicorns that will follow you around all day? Now that is something astounding! What's that, you say? OMG, how did those get there!?!A ThinkGeek exclusive, these navy blue fabric Misty Reins Unicorn Sneakers from the mad geniuses at Irregular Choice feature a pair of white unicorns with multicolored, glittering manes. When worn, the unicorns face one another. Glittery pink, blue, and teal stars cascade down the side of the shoe. The insole is pink and purple and the sole is white rubber with a unique ice effect. Or possibly sugar glaze. We kinda like that better.Product SpecificationsMisty Reins Unicorn SneakersFrom the mad geniuses at Irregular ChoiceA ThinkGeek collaboration & exclusiveNavy blue fabric upper features a white unicorn with multicolored, glittering maneWorn together, the unicorns face one another   Shoe collar is highlighted by light blue edging with sequin scallops Glittery pink, blue, and teal stars on sides of the shoe Pink and purple insole White rubber sole with a unique drip effectMaterials: Fabric upper with PU accents / fabric & PU lining and rubber soleHeel height: 1.18"" (flats)Note: We know shoes are hard to buy online. If you're not sure if you got the right size, wear them inside a bit to see if they fit okay. That way the bottoms will stay untouched. DO NOT walk in them on pavement! If you wear them inside for an hour and realize they're rubbing you the wrong way, literally, return them for a refund or exchange them for another size. Just to be sure to include all the bits that came with them so another fan can have the same joy you did unboxing them. Sizing Table  U.S Sizes55.56.5789101111.5 European Sizes353637383940414243 UK Sizes2.53.54566.57.588.5 Japanese Sizes2122.52323.524252626.527"
Winged Gladiator Sandals - Exclusive,"Hot wings, perfect for the summer months
			
		
		It's been a long time since you've had a vocabulary quiz, right? Here's a new word for you: talaria. Etymologically, it literally means anklethings. But apparently in ancient times there was only one time when you needed to talk about anklethings: when discussing Hermes or Mercury, depending on your native land, so ""talaria"" became the word for the god's winged sandals. And it still is today.Get your own pair of talaria, guaranteed to help you defeat Medusa.* These Winged Gladiator Sandals were specially made for us by our friends at Iron Fist, and they're a ThinkGeek exclusive. They come in both black and holographic and are 100% vegan. (Made from PU, not vegans.) These gladiator sandals feature a removable wing laced into the top 3 eyelets of the outer side of the pair, so when you stand with your feet together, it looks like your feet have sprouted tiny wings. Just don't let anybody send you on a floral delivery, k?* Note from ThinkGeek's Legal team: Not actually guaranteed to help you defeat Medusa. Product Specifications Winged Gladiator SandalsA ThinkGeek exclusiveFrom Iron FistChoose Black or HolographicAvailable in US ladies' whole sizes 5-11The wings can be bats, dragons, or your mythical beast of choiceGreat for ancient god cosplay or floral deliveryAlso good if you need to kill a GorgonRemovable wing laced into the top 3 eyelets - one on each sandal(Which means these can be plain sandals, and also that you can add wings to any of your other shoes that lace)Black wings are matte black on the front and pewter on the reverseHolographic wings are holographic on the front and matte black on the reverseMaterials: PU (Vegan leather)Imported"
Unicorn Leather Sneakers,"Be the unicorn!
			
		
		We are all for science and facts, but there's also a place in the human psyche for myths and legends, like the magical unicorn. Whether it's the ever-elusive unicorn humans have known since antiquity, or the modern unicorn that deploys rainbows and sparkles with abandon (from you-know-where!), we love them both. We celebrate the unicorn because it's unique and beautiful, and in modern times, because it spreads love and acceptance. And glitter.These crazy Unicorn Leather Sneakers from the mad geniuses at Irregular Choice feature an iridescent white unicorn, with a dimensional horn, ears, and pink fluffy mane on the tongue. They have pink and gold sparkly outers with a tiny pocket on the outside of each shoe for a 20 dollar bill, a key, or some sparkly confetti. And because that isn't enough, the stars on the outside are glow-in-the-dark and the hot pink soles have an LED embedded in them that has step-activated rainbow blinking lights at two speeds. Subtle they are not."
Night Sky LED Light-Up Heels,"Twinkle toes
 Maybe you have our Twinkling Stars Skirt, and you were thinking, ""I need some fabulous shoes that can hold their own against the twinkling lights of this skirt."" Basically, we are here to solve your LED fashion dilemmas.    These Night Sky LED Light-Up Heels look great with our Twinkling Stars Skirt or almost anything. We probably wouldn't go out on a grocery store run and pair these with our Pusheenicorn Kigurumi, but you COULD. (And if you DO, we need videos, plz.)  Product SpecificationsNight Sky LED Light-Up Heels From the mad geniuses at Irregular Choice10 bright white LEDs on each shoe light up when you walkSparkly black upper with scalloped edgeFeatures a pair of handmade diamante bows on the toesResin sole with floral designMaterials: Glitter and fabric upper with velvety fabric lining and resin outsoleHeel height: 3 3/4""Batteries included Note: We know shoes are hard to buy online. If you're not sure if you got the right size, wear them inside a bit to see if they fit okay. That way the bottoms will stay untouched. DO NOT walk in them on pavement! If you wear them inside for an hour and realize they're rubbing you the wrong way, literally, return them for a refund or exchange them for another size. Just to be sure to include all the bits that came with them so another fan can have the same joy you did unboxing them. Sizing Table  U.S Sizes 6.5789  European Sizes 37383940  UK Sizes 4566.5  Japanese Sizes 2323.52425"
Kitty Cat Leather Sneakers,"Cat got your tongue?
			
		
		We happen to be experts in kitten shoes here. Not kitten heels, mind you. Or shoes FOR cats (Kitten Mittens!). Shoes with a cat theme. Our collection is currently down to half a dozen pairs, so we feel pretty confident in stating that generally cat-themed shoes come in two flavors: cat face on the toe or repeating cat pattern fabric on the shoe.Irregular Choice, of course, had to do it different. Because different is what they do. These sneakers have tongues that feature a fuzzy grey cat head with pink bow. The outside is made of sparkly pink and black with grey knitted fabric and accents of iridescent faux snakeskin. And because that isn't enough, the black soles have an LED embedded in them that has step-activated rainbow blinking lights at two speeds. Subtle they are not.We have one question: Since Irregular Choice is out of the UK, does that make her a British Shorthair? We'll be here all week, folks."
Star Wars The Dark Side Flats - Limited Edition,"Shoe or shoe not. There is no try.
Irregular Choice has always been out there with their footwear designs, but now they're so far out they're in a galaxy far, far away. Introducing the limited-edition Star Wars collection from Irregular Choice, which we're elated to be able to offer on ThinkGeek! The Force is strong in this pair of Dark Side Flats. One features a Stormtrooper and the other features Vader, both superimposed over a colorful nebula pattern that extends all over the outside. There's white, black, gold, silver, pink, blue, and purple in the pair we have here, which means they basically go with anything. But they'd look pretty stellar with our Galaxy Leggings. Just sayin'. Product SpecificationsThe Dark Side Flats - Limited EditionOfficially-licensed Star Wars merchandise From the mad geniuses at Irregular ChoiceA Stormtrooper printed on one toe; Darth Vader on the otherSuperimposed over a colorful nebula print which covers the outside of the shoeLeaves and stars embroidered in gold and silver on both toesThe ""Star Wars"" logo embroidered in gold on the outer side of each heel (technically the counter)Gold edge dressing with glitter on the heel itselfIridescent inner (like a little secret only you get to enjoy)Louboutin ain't got nothing on these - they have full-color classic images on the soleThey paid attention to all the details - even the tissue paper is Star-Wars-inspiredMaterials: FabricHeel height: 0.7"" (flats) Note: We know shoes are hard to buy online. If you're not sure if you got the right size, wear them inside a bit to see if they fit okay. That way the bottoms will stay untouched. DO NOT walk in them on pavement! If you wear them inside for an hour and realize they're rubbing you the wrong way, literally, return them for a refund or exchange them for another size. Just to be sure to include all the bits that came with them so another fan can have the same joy you did unboxing them. Sizing Table  U.S Sizes 7 7.5 8 8.5 9 9.5  European Sizes 38 38.5 39 39.5 40 40.5  UK Sizes 5 5.5 6 - 6.5 7  Japanese Sizes 23.5 - 24 - 25 -"
Toy Story Arch Enemies Light-Up Heels,"Shouldn't your shoe closet go to infinity... and beyond?

That wasn't flying. That was falling with style!
- Woody, Toy Story


We predict you will fall (with style) for these Toy Story Arch Enemies Light-Up Heels. Just don't fall IN them, k? 

Reach for the sky in these platform heels from the mad geniuses at Irregular Choice. The name comes from the main designs: the right shoe features Buzz Lightyear, and the left shoe features Zurg. The outers feature an embroidered space design on sparkly blue fabric and speech bursts from our hero and the villain. 

But wait. There's more! The chunky heels feature a Rubik's-cube-style stack of rotating blocks so you can mix and match Woody, Jessie, Rex, and Buzz to your heart's content. 

But wait. There's more! They also have bright white LEDs as part of the galaxy design that light up when you walk. 

But wait. There's more! There's also button-activated audio with laser and cosmic sound effects. 

But wait. There's more! No. No, there's not. That's enough for one pair of shoes, we're pretty sure."
Pok&#xe9;mon Light-up Pikachu Slippers,"Super effective at keeping your toes warm
			
		
		Good Pokémon trainers spend a lot of time on their feet, both at the gym, perfecting their technique, and traveling around various regions. They're always on the go! At the end of a long day of training and battles, Pokémon trainers deserve to put their feet up and relax. And who better to do it with than Pikachu with these light-up slippers? These Pikachu slippers will cradle your tired feet, and his rosy cheeks light up when you take a step. This little pika went to market... this little pika stayed home....Note: If you shuffle your feet in winter while wearing these, you might be able to generate a bit of a shock from this Electric-type Pokémon, too! Bonus!Product SpecificationsLight-up Pikachu SlippersOfficially-licensed Pokémon merchandiseA ThinkGeek creation Pikachu's cheeks light up when you stepCheeks glow for 10 seconds before automatically switching offFits up to a US men's shoe size 10 / women's size 12Perfect for Pokémon trainers with tired tootsiesBottom fabric coated with no-slip dotsMaterials: Polyester + electronicsCare Instructions: Spot clean exterior only. Contains electronics. Do not submerge in water.Imported Batteries: 4 LR44 button cell batteries (included)On/off switch in each slipper to preserve the batteriesDimensions: 10"" wide x 13"" long x 6"" tallWeight: 10 oz. eachAges 14+WARNING - SMALL PARTS - Not intended for children under 3 years of age."
Star Wars Darth Vader Slippers,"The Dark Side... of comfort.
 You know that hissing sound when Darth Vader breathes? It's not the breathing machine you've been led to believe. Really, what you are hearing is Anakin sighing because his boots hurt his feet. If only he had some nice cozy slippers to nestle his tootsies into.  Good thing, at least, you can with these Darth Vader Slippers.   Slide your aching feet into some slippers of pure Sith comfort. If your toes are robotic and evil, these Darth Vader Slippers are just the slippers you've been looking for. They are very padded, have no-slip dots, and are constructed by the same made up aliens that built the rest of Vader's suit - promise.  Regardless, in your Darth Vader Slippers, your feet will be cozy and everyone who sees you will be jealous. Because that's what it really means to be a Sith. Product Specifications  For Ages 14 and UpWear a little Vader on your feet as you sip your Dark Side Roast coffeeOfficially-licensed Star Wars slippersBottom fabric coated with no-slip dotsMaterials: Polyester fiber, polyurethane foam, polyethylene foamCare instructions: Spot clean with a damp cloth and mild detergentImportedSizing: Small: Fits shoe sizes 7-8 (US Mens) and size 9 (US Womens)Large: Fits shoe sizes 11-12 (US Mens) and size 13 (US Womens)"
Wonder Woman Ladies' Metallic Hi-Top Sneakers,"Thank Hera for Hi-Tops!
			
		
		The difference between wearing heels and wearing something more reasonable is basically a superpower in and of itself, and one we haven't entirely mastered. Wonder Woman would frown on us borrowing her Lasso of Truth to extract the secrets of her heel-rocking ways, but it sure is tempting. In the meantime, sneakers are definitely more our jam! Wonder Woman Metallic Hi-Top Sneakers feature the golden Wonder Woman insignia on the heel backs and exterior quarter panels, and have a shiny gold toe, tongue, and eyelets. The hi-tops have a maroon body, pull strap, and shoelaces. The shoes' soles are dark tan because Wonder Woman plans to get them dirty!  Product Specifications Wonder Woman Metallic Hi-Top SneakersOfficially-licensed DC merchandiseAvailable in US ladies' whole sizes 5-11Materials: Maroon and gold metallic PU upper with fabric lining and manmade outsole, maroon shoelaces, and golden eyeletsDark tan-colored soleImported"
Harry Potter Hogwarts High-Top Sneakers,"Don't let the muggles get you down
			
		
		While these sweet kicks won't be permitted in your Muggle Studies or Care of Magical Creatures class, they are an important part of any young wizard's casual wardrobe at Hogwarts School of Witchcraft and Wizardry. Save the plain black shoes for class, and climb into these beauties during your off hours to complete your muggle look.  Black canvas Harry Potter Hogwarts High-Top Sneakers feature the crossed wands Hogwarts crest in black on black on the exterior quarter panels. The shoes have white eyestays and collar, black laces and eyelets, and black soles with the Harry Potter logo in white on the heels. Product SpecificationsHarry Potter Hogwarts High-Top SneakersOfficially-licensed Harry Potter merchandiseBlack canvas high-tops with white eyestays and collarFeatures crossed wands Hogwarts crest in black on black on quarter panelsBlack soles have white Harry Potter logo on the heel backsBlack laces, eyelets, and pull tabs complete the lookXS fits US men's shoe size 5-6, S fits size 7-8, M fits size 9-10, L fits size 11-12, XL fits size 13-14(Add 2 to get the corresponding US women's shoe size - a men's x-small will fit a women's size 7-8)Materials: Canvas and rubber Sizing informationBlack rubber soleImported"
Star Wars I Am Your Father Flats - Limited Edition,"Impressive. Most impressive.
Irregular Choice has always been out there with their footwear designs, but now they're so far out they're in a galaxy far, far away. Introducing the limited-edition Star Wars collection from Irregular Choice, which we're elated to be able to offer on ThinkGeek!Our original pair of Darth Vader Flats was pretty subtle. The most subtle pair in this collection. These I Am Your Father Flats are significantly less subtle. These are covered in glitter from head (Vader's) to toe (yours) literally. Product SpecificationsI Am Your Father Flat - Limited EditionOfficially-licensed Star Wars merchandise From the mad geniuses at Irregular ChoiceDarth Vader's helmet embroidered in gold on both toesBlack glitter over the entire outer of the shoeThe word ""Star"" embroidered in gold on one heel (technically the counter) and the word ""Wars"" on the otherBlack edge dressing with gold glitter on the heel itselfIridescent inner (like a little secret only you get to enjoy)Louboutin ain't got nothing on these - they have full-color classic images on the soleThey paid attention to all the details - even the tissue paper is Star-Wars-inspiredMaterials: Black glitter and black shiny PU Heel height: 0.7"" (flats) Note: We know shoes are hard to buy online. If you're not sure if you got the right size, wear them inside a bit to see if they fit okay. That way the bottoms will stay untouched. DO NOT walk in them on pavement! If you wear them inside for an hour and realize they're rubbing you the wrong way, literally, return them for a refund or exchange or exchange them for another size. Just to be sure to include all the bits that came with them so another fan can have the same joy you did unboxing them. Sizing Table  U.S Sizes 5.5 6.5 7 8 9 10  European Sizes 36 37 38 39 40 41  UK Sizes 3.5 4 5 6 6.5 7.5  Japanese Sizes 22.5 23 23.5 24 25 26"
Wonder Woman Ladies' Athletic Sneakers,"Because shoes shouldn't make you wonder
			
		
		Sandals may be fine for hanging out on the island of Themyscira, but visiting Man's World translates to a lot of walking. London's a city many a tourist has regretted wearing inappropriate shoes to visit, and if those sandals don't have arch support, we're going to have to recommend a pair of these.Lace up these Wonder Woman Ladies' Athletic Sneakers and take your fandom with you to London, to the gym, or just out grocery shopping. These shoes feature a silver double W logo design repeat on the sides and white soles to prevent marking.Product SpecificationsWonder Woman Ladies' Athletic SneakersOfficially-licensed DC Comics merchandise Silver logo design on the sideWhite soles prevent markingLadies' whole sizes 6-11Materials: All manmade materialsCare Instructions: Spot clean with a damp cloth and mild detergent Imported"
Pok&#xe9;mon Snoring Snorlax Slippers,"Block route 16 in comfort
			
		
		Snorlax has always got our back. Whether it's protecting us from stubbing our toes or just keeping our feetsies warm, we can always count on Snorlax. We mean, it's good for resting and blocking our way as well, but that just speaks to how well-rounded our big buddy can be! And that one of the reasons Snorlax is near the top of our list of favorite Pokémon - it's just so effective at everything it does!The Snorlax Slippers resemble your favorite sleepy Pokémon! These slippers are sure to keep your toes safe and warm from the frigid mornings and nights. It wouldn't be Snorlax if it didn't sleep on the job though, so when you step Snorlax will do one of his best tricks - snore. A constant reminder that you can never make a Snorlax forget how to use rest, even if you wanted to. Product Specifications Snorlax SlippersOfficially-licensed Pokémon merchandiseA ThinkGeek creation & exclusiveMakes snoring noises when you walkFits up to men's shoe size 10 / women's 12Bottom fabric coated with no-slip dotsMaterials: 100% polyester upper, lining, filling, and insole; 94% polyester / 6% cotton outsoleCare Instructions: Do not wash. Spot clean only. Air dry.ImportedBatteries: Three 1.5v button cell batteries in each (included)Batteries are not replaceable"
Kitty Paws Heels,"True purrrrrrrrfection
			
		
		We happen to be experts in kitten shoes here. Not kitten heels, mind you. Or shoes FOR cats (Kitten Mittens!). Shoes with a cat theme. Our collection is currently down to half a dozen pairs, so we feel pretty confident in stating that generally cat-themed shoes come in two flavors: cat face on the toe or repeating cat pattern fabric on the shoe.Irregular Choice, of course, had to do it different. Because different is what they do. These shoes feature fuzzy ears, a fuzzy tail, and a faux fur covered chunky heel. There's heart cutout fabric across the vamp and counter (the upper bit of the heel), and the strap has the most adorable heart-shaped buckle. It's topped-off (bottomed-off?) with a holographic black glitter platform. They're sparkly and fun and if you get these and you have cats you already know you're going to have to keep them in a box or they will become playthings. Consider yourself warned.Product SpecificationsKitty Paws Heels From the mad geniuses at Irregular ChoiceFuzzy ears, a fuzzy tail, and a faux fur covered chunky heelHeart cutout fabric across the vamp and counter (the upper bit of the heel)Strap has a heart-shaped buckleHolographic black glitter platformMaterials: Fabric and PU upper / PU lining and resin outsoleHeel Height: 4.3""Platform Height: 1/2"" Sizing Table"
Star Wars Galactic Necklace,"From one side of this galaxy to the other
			
		
		If you've met us here at ThinkGeek World Domination HQ, you know by now that we wouldn't be able to leave our popular Solar Orbit Necklace out there all by its lonesome. When something works, we do it again. You explicitly asked for a special version of this necklace for Star Wars fans, and our vendor came through for us. The Star Wars Galactic Necklace highlights some of the more famous planets from galaxies far, far away. Looking at the necklace straight on, at the farthest left we start with a few Core Worlds (Coruscant and Alderaan) and then we move off into the Outer Rim Territories, including mostly planets but also a few of everybody's favorite moons and an asteroid belt. And, of course, the Death Star. This comes in a lovely box, ready to gift, with a key inside the lid like one you'd find in a box of chocolates. Protip: Don't eat Sullust. It's one of those nasty cherry ones. (Also, it's a rock. We highly advise against eating rocks.)For our customers with nickel allergies: This item may contain nickel."
Firefly Leaf on the Wind Reversible Necklace,"Likely crash and kill us all
			
		
		On a ship like Serenity, you need a good pilot. That ain't because the ship is a piece of goushi with a crappy compressor coil and issues with the primary buffer planner. No, those are reasons why you need a good mechanic on board. You really need a good pilot because taking just any ol' job that comes along tends to make for more people chasin' after ya. So make sure you get someone to fly the ship who can pull a Crazy Ivan, dohn-ma? Hoban ""Wash"" Washburne might just be the best pilot in the whole 'Verse. No matter who you're a-runnin' from, he'll get the ship and crew through safely... more or less. He is a leaf on the wind. Watch him soar. And keep him with you always, with this sterling silver reversible necklace. One side reads ""I am a leaf on the wind"". The other side reads ""Watch how I soar"". It hangs from a 20"" sterling silver chain to put 'round your neck and keep close to your heart.   For our customers with nickel allergies: This item is made from solid nickel-free sterling silver. Product Specifications  Firefly Leaf on the Wind Reversible NecklaceOfficially-licensed Firefly merchandise Created exclusively for ThinkGeek by our friends at RockLove Jewelry Sterling silver leaf pendant which reads ""I am a leaf on the wind"" and ""Watch how I soar"" on the reverse20"" sterling silver woven chainCollector's edition sterling silver leaf signature tag hangs from lobster claspMaterials: Nickel-free sterling silverMade in the U.S.A. (New York City)Ships in a Firefly-branded box suitable for gifting with authenticity cardDimensions: 1"" tall pendant on a 20"" long chainWeight: 0.3 oz. Ages 12+About RockLove Jewelry After an old-world apprenticeship in Florence, Italy, designer and jeweler Allison Hourcade Cimino fused her love of historical eras and geek culture to develop RockLove. Each piece of jewelry is handcrafted from start to finish in NYC using precious metals, gemstones, and eco-friendly organic materials."
Mars Orbit Watch,"40 Minutes

Did you hear ""Mars Time"" from AirSpace, the podcast from the Smithsonian's National Air and Space Museum, down the street from ThinkGeek World Domination HQ? If you missed it, it was about how trying to keep your body synced to a Mars day, 40 minutes longer than an Earth's Day, wreaks havoc on your naturally circadian body. Apparently beanbag chairs and ice cream makes it better. That's pretty much true for anything, honestly.

This watch celebrates the glory that is the red planet, but it's a standard Earth watch so as not to mess with your head. The Mars Orbit watch has 3-hand movement, with Phobos as the minute hand, Deimos as the hour indicator, and a little rover as the second hand. (At least we think that's how they line up based on which one orbits closer to the planet. The inside one is the minute hand, which should be obvious after a a few minutes.) Does not include life and / or any Earth-shattering kabooms."
Star Trek Trillion Sterling Necklace - Exclusive,"Honor the past and celebrate the future of Starfleet
			
		
		This necklace is for people who love all of Star Trek. You can't pick a division color, because they're all great. You can't pick a series, because they each had their strengths. You can't pick a favorite captain because - okay. Maybe you can pick a favorite captain. In honor of Star Trek's 50th anniversary, RockLove made this crystal version of their Star Trek Sterling Starfleet Trillion Necklace exclusively for ThinkGeek. We said, ""What about the people who need more than one division color?"" This was their clever solution. Each of these necklaces is handmade in New York City from nickel-free artisan silver. It's a tribute to a groundbreaking show and a treat for yourself or someone you love.For our customers with nickel allergies: This item is made from nickel-free sterling silver.Product Specifications Star Trek Sterling Starfleet Trillion NecklaceOfficially-licensed Star Trek merchandise A ThinkGeek exclusiveCelebrating 50 years of the iconic Starfleet insignia silhouetteFeatures 7mm trillion-cut white cubic zirconia Faceted 20"" long sterling silver bead chain with spring ring claspHandmade from artisan silver in New York CityComes in a box suitable for giftingMaterials: Sterling silver and dilithium crystal cubic zirconiaDimensions: 17mm x 10mm wide Delta ShieldAbout RockLove JewelryAfter an old-world apprenticeship in Florence, Italy, designer and jeweler Allison Hourcade fused her love of historical eras and geek culture to develop RockLove. Each piece of jewelry is handcrafted from start to finish in NYC using precious metals, gemstones, and eco-friendly organic materials."
Solar Orbit Necklace,"Sparkly star stuff
			
		
		It's humbling to think that every living thing that has ever existed in the universe or ever will is made of the same stuff as we are - very basic atoms formed in the core of hot stars billions of years ago and set on their interstellar journey when those stars exploded. Your fingers, your circulatory system, your brain, they're all so much stellar debris, combining and recombining in an infinite number of ways, creating life before our own existence and far beyond it into the future. Puts everything into perspective, doesn't it? Now whether or not you have that extra piece of cake doesn't seem to make that much of a difference in the grand scheme of things, does it? That's right. We're your enablers. Thank us later. With cake. Celebrate our friendly neighborhood star stuff with this Solar Orbit Necklace. Its 21"" length features not only the Sun and all the planets (including the one that got voted off the island), but also our Moon and the asteroid belt between Mars and Jupiter. And there's a little star shaped charm hanging off the 3"" extender, like a comet. For those who are about to complain that the beads are not to scale, here's the deal: we wanted you to be able to lift your head despite the asteroids in the belt being visible. We think that's a fair trade-off.For our customers with nickel allergies: This item may contain nickel."
Legend of Zelda Leather Watch - Exclusive ,"Wristwatch of Time
 ""The flow of time is always cruel... its speed seems different for each person, but no one can change it... A thing that does not change with time is a memory of younger days...""  - Sheik, The Legend of Zelda: Ocarina of Time   A watch is a necessity for when you really need to keep track of time, like when transporting an Odd Mushroom that'll spoil after three minutes, or saving everyone from the impending doom of the looming moon. Yeah, try saying ""impending doom of the looming moon"" ten times fast!Legend of Zelda watch features a brushed-bronze look and the Hyrule Crest on the watch face. Stainless steel case with a 10 1/4"" genuine leather strap, fits wrists from 6 3/4"" to 9"" around. This watch design is a ThinkGeek exclusive!Product Specifications Legend of Zelda Leather Watch - Exclusive Officially-licensed Legend of Zelda merchandiseA ThinkGeek exclusive!Get to your next adventure on timeJapanese movementMaterials: Stainless steel case and bezel, genuine leather strap Batteries: 1 SR626SW (included)Dimensions: 1 3/4"" diameter faceFits wrists from 6 3/4 - 9"" aroundAges 6+WARNING - SMALL PARTS - Not intended for children under 3 years of age."
Nixon The Unit Boba Fett - Limited Reissue,"He's no good to me dead
			
		
		There is something very memorable about Boba Fett. For a character who had a number of lines in the original trilogy that we can quite literally count on one hand, he left a lasting impression. Maybe it was his demeanor, just standing there, ever silent, gun in hand. It's very intimidating. Or maybe it was his armor, because, let's face the facts, it's pretty awesome looking. Generous wear and tear from all the action Boba has seen. Iconic colors and design. Now, imagine all that, but in the form of a watch.Nixon The Unit Boba Fett watch features a design inspired by one of the galaxy's most feared bounty hunters. This digital watch features the same colors as Boba Fett's iconic armor. Knurled pusher and Mandalorian insignia on the side. Helmet and the words ""As you wish"" inscribed on the back of the watch.    Product Specifications Nixon The Unit Boba Fett - Limited ReissueOfficially-licensed Star Wars merchandiseInscribed with Boba Fett's helmet and the words ""As you wish"" on the back Functions: 12 or 24 hour time of day, calendar, temperature gauge, dual time, countdown timer, chronograph, alarm, and light Positive or negative LCD display with backlight functionMaterials: Custom injection-molded polycarbonate case, fixed polycarbonate bezel, hardened mineral crystal, double gasket custom injection molded polycarbonate pushers, screw down caseback and spring pin lugs, and custom injection-molded silicone band with patented locking looper and polycarbonate buckle Water Resistance: 100 meter / 10 ATMBatteries: SR626 button cell battery (included)Dimensions: 1 3/4"" face with 0.9"" wide bandReturn policy and warranty"
Tesla Watch,"Splendid chronometer from a more elegant time
			
		
		Tesla came up with all sorts of inventions and has sort of become the poster scientist for awesomeness now. Sure he wasn't perfect. Sure he was a bit crazy. But he was always on time for his appointments. (Ed. note: We made that up.) And now you can be, too, with the new Tesla Watch.The Tesla Watch goes with your steampunk aesthetic. With a weathered-brass look on all the metal parts, this analog watch features a leather strap. The highlights of this design, however, are the two faux vacuum tubes with red LEDs inside that you can turn on and off with the flick of a switch. Everybody will want to ask you what time it is so they can see your watch. Just remember to follow the answer with, ""... 1875."""
